Pokemon,Color
bulbasaur,green
ivysaur,green
venusaur,green
venusaur-mega,green
charmander,red
charmeleon,red
charizard,red
charizard-mega-x,black
charizard-mega-y,red
squirtle,blue
wartortle,blue
blastoise,blue
blastoise-mega,blue
caterpie,green
metapod,green
butterfree,white
weedle,brown
kakuna,yellow
beedrill,yellow
beedrill-mega,yellow
pidgey,brown
pidgeotto,brown
pidgeot,brown
pidgeot-mega,brown
rattata,purple
rattata-alola,black
raticate,brown
raticate-alola,black
spearow,brown
fearow,brown
ekans,purple
arbok,purple
pikachu,yellow
raichu,yellow
raichu-alola,brown
sandshrew,yellow
sandshrew-alola,white
sandslash,yellow
sandslash-alola,blue
nidoran-f,blue
nidorina,blue
nidoqueen,blue
nidoran-m,purple
nidorino,purple
nidoking,purple
clefairy,pink
clefable,pink
vulpix,brown
vulpix-alola,white
ninetales,yellow
ninetales-alola,blue
jigglypuff,pink
wigglytuff,pink
zubat,purple
golbat,purple
oddish,blue
gloom,blue
vileplume,red
paras,red
parasect,red
venonat,purple
venomoth,purple
diglett,brown
diglett-alola,brown
dugtrio,brown
dugtrio-alola,brown
meowth,yellow
meowth-alola,blue
meowth-galar,brown
persian,yellow
persian-alola,blue
psyduck,yellow
golduck,blue
mankey,brown
primeape,brown
growlithe,brown
growlithe-hisui,brown
arcanine,brown
arcanine-hisui,brown
poliwag,blue
poliwhirl,blue
poliwrath,blue
abra,brown
kadabra,brown
alakazam,brown
alakazam-mega,brown
machop,gray
machoke,gray
machamp,gray
bellsprout,green
weepinbell,green
victreebel,green
tentacool,blue
tentacruel,blue
geodude,brown
geodude-alola,gray
graveler,brown
graveler-alola,gray
golem,brown
golem-alola,gray
ponyta,yellow
ponyta-galar,white
rapidash,yellow
rapidash-galar,white
slowpoke,pink
slowpoke-galar,pink
slowbro,pink
slowbro-mega,pink
slowbro-galar,pink
magnemite,gray
magneton,gray
farfetchd,brown
farfetchd-galar,brown
doduo,brown
dodrio,brown
seel,white
dewgong,white
grimer,purple
grimer-alola,green
muk,purple
muk-alola,green
shellder,purple
cloyster,purple
gastly,purple
haunter,purple
gengar,purple
gengar-mega,purple
onix,gray
drowzee,yellow
hypno,yellow
krabby,red
kingler,red
voltorb,red
voltorb-hisui,red
electrode,red
electrode-hisui,red
exeggcute,pink
exeggutor,yellow
exeggutor-alola,yellow
cubone,brown
marowak,brown
marowak-alola,purple
hitmonlee,brown
hitmonchan,brown
lickitung,pink
koffing,purple
weezing,purple
weezing-galar,gray
rhyhorn,gray
rhydon,gray
chansey,pink
tangela,blue
kangaskhan,brown
kangaskhan-mega,brown
horsea,blue
seadra,blue
goldeen,red
seaking,red
staryu,brown
starmie,purple
mr-mime,pink
mr-mime-galar,white
scyther,green
jynx,red
electabuzz,yellow
magmar,red
pinsir,brown
pinsir-mega,brown
tauros,brown
"tauros-paldean,-combat",brown
"tauros-paldean,-blaze",brown
"tauros-paldean,-aqua",brown
magikarp,red
gyarados,blue
gyarados-mega,blue
lapras,blue
ditto,purple
eevee,brown
vaporeon,blue
jolteon,yellow
flareon,red
porygon,pink
omanyte,blue
omastar,blue
kabuto,brown
kabutops,brown
aerodactyl,purple
aerodactyl-mega,purple
snorlax,black
articuno,blue
articuno-galar,purple
zapdos,yellow
zapdos-galar,yellow
moltres,yellow
moltres-galar,red
dratini,blue
dragonair,blue
dragonite,brown
mewtwo,purple
mewtwo-mega-x,purple
mewtwo-mega-y,purple
mew,pink
chikorita,green
bayleef,green
meganium,green
cyndaquil,yellow
quilava,yellow
typhlosion,yellow
typhlosion-hisui,yellow
totodile,blue
croconaw,blue
feraligatr,blue
sentret,brown
furret,brown
hoothoot,brown
noctowl,brown
ledyba,red
ledian,red
spinarak,green
ariados,red
crobat,purple
chinchou,blue
lanturn,blue
pichu,yellow
cleffa,pink
igglybuff,pink
togepi,white
togetic,white
natu,green
xatu,green
mareep,white
flaaffy,pink
ampharos,yellow
ampharos-mega,yellow
bellossom,green
marill,blue
azumarill,blue
sudowoodo,brown
politoed,green
hoppip,pink
skiploom,green
jumpluff,blue
aipom,purple
sunkern,yellow
sunflora,yellow
yanma,red
wooper,blue
wooper-paldean,blue
quagsire,blue
espeon,purple
umbreon,black
murkrow,black
slowking,pink
slowking-galar,pink
misdreavus,gray
unown,black
wobbuffet,blue
girafarig,yellow
pineco,gray
forretress,purple
dunsparce,yellow
gligar,purple
steelix,gray
steelix-mega,gray
snubbull,pink
granbull,purple
qwilfish,gray
qwilfish-hisui,black
scizor,red
scizor-mega,red
shuckle,yellow
heracross,blue
heracross-mega,blue
sneasel,black
sneasel-hisui,gray
teddiursa,brown
ursaring,brown
slugma,red
magcargo,red
swinub,brown
piloswine,brown
corsola,pink
corsola-galar,white
remoraid,gray
octillery,red
delibird,red
mantine,purple
skarmory,gray
houndour,black
houndoom,black
houndoom-mega,black
kingdra,blue
phanpy,blue
donphan,gray
porygon2,red
stantler,brown
smeargle,white
tyrogue,purple
hitmontop,brown
