id,identifier,pokemon_id,step_id,evolved_species_id,evolution_chain_id,is_split,evolution_trigger_id,regional,trigger_item_id,minimum_level,gender_id,location_id,held_item_id,time_of_day,known_move_id,known_move_type_id,minimum_happiness,minimum_beauty,minimum_affection,relative_physical_stats,party_species_id,party_type_id,trade_species_id,needs_overworld_rain,turn_upside_down
1,bulbasaur,1,0,1,1,0,,,,,,,,,,,,,,,,,,,
2,ivysaur,2,1,2,1,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
3,venusaur,3,2,3,1,0,1.0,,,32.0,,,,,,,,,,,,,,0.0,0.0
4,charmander,4,0,4,2,0,,,,,,,,,,,,,,,,,,,
5,charmeleon,5,1,5,2,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
6,charizard,6,2,6,2,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
7,squirtle,7,0,7,3,0,,,,,,,,,,,,,,,,,,,
8,wartortle,8,1,8,3,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
9,blastoise,9,2,9,3,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
10,caterpie,10,0,10,4,0,,,,,,,,,,,,,,,,,,,
11,metapod,11,1,11,4,0,1.0,,,7.0,,,,,,,,,,,,,,0.0,0.0
12,butterfree,12,2,12,4,0,1.0,,,10.0,,,,,,,,,,,,,,0.0,0.0
13,weedle,13,0,13,5,0,,,,,,,,,,,,,,,,,,,
14,kakuna,14,1,14,5,0,1.0,,,7.0,,,,,,,,,,,,,,0.0,0.0
15,beedrill,15,2,15,5,0,1.0,,,10.0,,,,,,,,,,,,,,0.0,0.0
16,pidgey,16,0,16,6,0,,,,,,,,,,,,,,,,,,,
17,pidgeotto,17,1,17,6,0,1.0,,,18.0,,,,,,,,,,,,,,0.0,0.0
18,pidgeot,18,2,18,6,0,1.0,,,36.0,,,,,,,,,,,,,,0.0,0.0
19,rattata,19,0,19,7,0,,,,,,,,,,,,,,,,,,,
20,raticate,20,1,20,7,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
21,spearow,21,0,21,8,0,,,,,,,,,,,,,,,,,,,
22,fearow,22,1,22,8,0,1.0,,,20.0,,,,,,,,,,,,,,0.0,0.0
23,ekans,23,0,23,9,0,,,,,,,,,,,,,,,,,,,
24,arbok,24,1,24,9,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
25,pichu,172,0,172,10,0,,,,,,,,,,,,,,,,,,,
26,pikachu,25,1,25,10,0,1.0,,,,,,,,,,220.0,,,,,,,0.0,0.0
27,raichu,26,2,26,10,0,3.0,,83.0,,,,,,,,,,,,,,,0.0,0.0
28,raichu-alola,10100,2,26,10,0,3.0,alola,83.0,,,,,,,,,,,,,,,0.0,0.0
29,sandshrew,27,0,27,11,0,,,,,,,,,,,,,,,,,,,
30,sandslash,28,1,28,11,0,1.0,,,22.0,,,,,,,,,,,,,,0.0,0.0
31,nidoran-f,29,0,29,12,0,,,,,,,,,,,,,,,,,,,
32,nidorina,30,1,30,12,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
33,nidoqueen,31,2,31,12,0,3.0,,81.0,,,,,,,,,,,,,,,0.0,0.0
34,nidoran-m,32,0,32,13,0,,,,,,,,,,,,,,,,,,,
35,nidorino,33,1,33,13,0,1.0,,,16.0,,,,,,,,,,,,,,0.0,0.0
36,nidoking,34,2,34,13,0,3.0,,81.0,,,,,,,,,,,,,,,0.0,0.0
37,cleffa,173,0,173,14,0,,,,,,,,,,,,,,,,,,,
38,clefairy,35,1,35,14,0,1.0,,,,,,,,,,160.0,,,,,,,0.0,0.0
