Pokémon,Base Move,Z-Move,Type,Category,Power,Z-Crystal
pikachu,Volt Tackle,Catastropika,Electric,Physical,210,Pikanium Z
decidueye,Spirit Shackle,Sinister Arrow Raid,Ghost,Physical,180,Decidium Z
incineroar,Darkest Lariat,Malicious Moonsault,Dark,Physical,180,Incinium Z
primarina,Sparkling Aria,Oceanic Operetta,Water,Special,195,Primarium Z
tapu-bulu,Nature's Madness,Guardian of Alola,Fairy,Special,0,Tapunium Z
tapu-koko,Nature's Madness,Guardian of Alola,Fairy,Special,0,Tapunium Z
tapu-fini,Nature's Madness,Guardian of Alola,Fairy,Special,0,Tapunium Z
tapu-lele,Nature's Madness,Guardian of Alola,Fairy,Special,0,Tapunium Z
marshadow,Spectral Thief,Soul-Stealing 7-Star Strike,Ghost,Physical,195,Marshadium Z
raichu-alola,Thunderbolt,Stoked Sparksurfer,Electric,Special,175,Aloraichium Z
snorlax,Giga Impact,Pulverizing Pancake,Normal,Physical,210,Snorlium Z
eevee,Last Resort,Extreme Evoboost,Normal,Status,0,Eevium Z
mew,Psychic,Genesis Supernova,Psychic,Special,185,Mewnium Z
pikachu,Thunderbolt,10.000.000 Volt Thunderbolt,Electric,Special,195,Pikashunium Z
necrozma-ultra,Photon Geyser,Light That Burns the Sky,Psychic,Special,200,Ultranecrozium Z
necrozma-dusk,Sunsteel Strike,Searing Sunraze Smash,Steel,Physical,200,Solganium Z
necrozma-dawn,Moongeist Beam,Menacing Moonraze Maelstrom,Ghost,Special,200,Lunalium Z
solgaleo,Sunsteel Strike,Searing Sunraze Smash,Steel,Physical,200,Solganium Z
lunala,Moongeist Beam,Menacing Moonraze Maelstrom,Ghost,Special,200,Lunalium Z
mimikyu-disguised,Play Rough,Let's Snuggle Forever,Fairy,Physical,190,Mimikium Z
lycanroc-dusk,Stone Edge,Splintered Stormshards,Rock,Physical,190,Lycanium Z
kommo-o,Clanging Scales,Clangorous Soulblaze*,Dragon,Special,185,Kommonium Z
mimikyu-busted,Play Rough,Let's Snuggle Forever,Fairy,Physical,,Mimikium Z
lycanroc-midday,Stone Edge,Splintered Stormshards,Rock,Physical,,Lycanium Z
lycanroc-midnight,Stone Edge,Splintered Stormshards,Rock,Physical,,Lycanium Z
